#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 32609301; 0.0011907131; 3.3223042; -1; ; ; 0
000440245691; 32619301; 0.00126624; 3.3223042; -1; ; ; 0
000440245691; 32629301; 0.0022401295; 3.3223042; -1; ; ; 0
000440245691; 32639301; 0.14827915; 3.3263416; -1; ; ; 0
000440245691; 32649301; 0.83869904; 3.3263416; -1; ; ; 0
000440245691; 32659301; 0.6921321; 3.3228426; -1; ; ; 0
000440245691; 32669301; -4.591149E-4; 3.3228426; -1; ; ; 0
000440245691; 32679301; -6.114008E-4; 3.3228426; -1; ; ; 0
000440245691; 32689301; 1.3988474E-4; 3.3212276; -1; ; ; 0
000440245691; 32699301; 7.8347814E-4; 3.3212276; -1; ; ; 0
000440245691; 32709301; 0.0016006044; 3.3198817; -1; ; ; 0
000440245691; 32719301; 0.0011440214; 3.3198817; -1; ; ; 0
000440245691; 32729301; 7.0603384E-4; 3.3198817; -1; ; ; 0
000440245691; 32739301; 5.690999E-4; 3.32365; -1; ; ; 0
000440245691; 32749301; 9.991368E-4; 3.32365; -1; ; ; 0
000440245691; 32759301; 0.001786472; 3.32365; -1; ; ; 0
000440245691; 32769301; 9.4293774E-4; 3.3241882; -1; ; ; 0
000440245691; 32779301; 6.680649E-4; 3.3241882; -1; ; ; 0
000440245691; 32789301; 0.0016413606; 3.3209586; -1; ; ; 0
000440245691; 32799301; 0.0016164136; 3.3209586; -1; ; ; 0
000440245691; 32809301; 6.677455E-4; 3.3209586; -1; ; ; 0
000440245691; 32819301; 0.0010976002; 3.3247266; -1; ; ; 0
000440245691; 32829301; 0.001577577; 3.3247266; -1; ; ; 0
000440245691; 32839301; 0.0015054772; 3.3214967; -1; ; ; 0
000440245691; 32849301; 0.0016413145; 3.3214967; -1; ; ; 0
000440245691; 32859301; 0.0013611864; 3.3214967; -1; ; ; 0
000440245691; 32869301; 0.001248285; 3.3209586; -1; ; ; 0
000440245691; 32879301; 0.0016425471; 3.3209586; -1; ; ; 0
000440245691; 32889301; 0.001708753; 3.3244576; -1; ; ; 0
000440245691; 32899301; 0.0014731741; 3.3244576; -1; ; ; 0
000440245691; 32909301; 0.0013456524; 3.3244576; -1; ; ; 0
000440245691; 32919301; 0.001332128; 3.3244576; -1; ; ; 0
000440245691; 32929301; 0.0012998707; 3.3244576; -1; ; ; 0
000440245691; 32939301; 0.0010991531; 3.3244576; -1; ; ; 0
000440245691; 32949301; 0.001316319; 3.325265; -1; ; ; 0
000440245691; 32959301; 0.001216805; 3.325265; -1; ; ; 0
000440245691; 32969301; 0.0010431817; 3.3228426; -1; ; ; 0
000440245691; 32979301; 0.0010827039; 3.3228426; -1; ; ; 0
000440245691; 32989301; 0.0012461846; 3.3228426; -1; ; ; 0
000440245691; 32999301; 0.0010158597; 3.3260727; -1; ; ; 0
000440245691; 33009301; 8.342404E-4; 3.3260727; -1; ; ; 0
000440245691; 33019301; 9.982683E-4; 3.3276877; -1; ; ; 0
000440245691; 33029301; 0.0011754553; 3.3276877; -1; ; ; 0
000440245691; 33039301; 0.0015793572; 3.3276877; -1; ; ; 0
000440245691; 33049301; 0.0020351636; 3.3220348; -1; ; ; 0
000440245691; 33059301; 0.0014916769; 3.3220348; -1; ; ; 0
000440245691; 33069301; 0.0010561117; 3.3206892; -1; ; ; 0
000440245691; 33079301; 0.001330985; 3.3206892; -1; ; ; 0
000440245691; 33089301; 7.3321885E-4; 3.3206892; -1; ; ; 0
000440245691; 33099301; 0.0013327211; 3.3258033; -1; ; ; 0
000440245691; 33109301; 0.0014915406; 3.3258033; -1; ; ; 0
000440245691; 33119301; 6.624444E-4; 3.3249958; -1; ; ; 0
000440245691; 33129301; 0.0015648738; 3.3249958; -1; ; ; 0
000440245691; 33139301; 0.001811465; 3.3249958; -1; ; ; 0
000440245691; 33149301; 0.0010047103; 3.3198817; -1; ; ; 0
000440245691; 33159301; 7.6826254E-4; 3.3198817; -1; ; ; 0
000440245691; 33169301; 9.6811244E-4; 3.3198817; -1; ; ; 0
000440245691; 33179301; 0.0010909276; 3.32688; -1; ; ; 0
000440245691; 33189301; 0.0012918283; 3.32688; -1; ; ; 0
000440245691; 33199301; 0.0012302384; 3.3249958; -1; ; ; 0
000440245691; 33209301; 0.0010341805; 3.3249958; -1; ; ; 0
000440245691; 33219301; 0.0016624688; 3.3249958; -1; ; ; 0
000440245691; 33229301; 0.0015057969; 3.3255339; -1; ; ; 0
